customer_state,delivery_days,delay_days,num_orders
AC,20.6375,-20.0875,80
AL,24.04030226700252,-8.168765743073047,397
AM,25.986206896551725,-18.93793103448276,145
AP,26.73134328358209,-19.134328358208954,67
BA,18.86640049140049,-10.206695331695332,3256
CE,20.817826426896012,-10.186864738076622,1279
DF,12.509134615384616,-11.43798076923077,2080
ES,15.331829573934836,-9.888220551378446,1995
GO,15.15074092999489,-11.570771589167093,1957
MA,21.11715481171548,-8.96652719665272,717
MG,11.543813298106562,-12.643505063848524,11355
MS,15.191155492154065,-10.406562054208274,701
MT,17.59367945823928,-13.77313769751693,886
PA,23.316067653276956,-13.47568710359408,946
PB,19.95357833655706,-12.696324951644101,517
PE,17.965473948524796,-12.723791588198369,1593
PI,18.993697478991596,-10.707983193277311,476
PR,11.52671135486492,-12.725776965265082,4923
RJ,14.84918643244556,-11.155346879300575,12353
RN,18.824894514767934,-13.048523206751055,474
RO,18.91358024691358,-19.473251028806583,243
RR,28.975609756097562,-16.658536585365855,41
RS,14.819236526946108,-13.339633233532934,5344
SC,14.479560191711306,-10.93628418381731,3547
SE,21.029850746268657,-9.453731343283582,335
SP,8.298061489072724,-10.478849240646994,40495
TO,17.226277372262775,-11.503649635036496,274
